diagnostics_Image-original_Hash,439265379db56331becb6f94ba34c6466c6bcab1,9ce71715a2e3fa4997c9f0a2b822edb008677ea6,f1287f18e2682f1cfea66468c5d7e17796b54bb7,2b467b76694c3fdd6d70e2d67d72c72b72d7995b,2c16a66054cfa07992c5f03f31b16285b5e5ec5d,e9faf55378425873bfb19ca07fed6aeac6e295e9
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 245)","(512, 512, 245)","(512, 512, 229)","(512, 512, 249)","(512, 512, 249)","(512, 512, 249)"
original_gldm_GrayLevelVariance,198.9374894,191.999215,202.7484256,212.7303561,215.2168003,218.6047518
original_gldm_HighGrayLevelEmphasis,465.3045866,448.2018622,459.2319129,516.5104046,514.4449299,575.4007459
original_gldm_LargeDependenceEmphasis,57.70436286,46.99273743,59.50924842,47.87842004,57.45620809,54.07170163
original_gldm_LargeDependenceHighGrayLevelEmphasis,18895.7966,12603.79497,16151.69761,19666.4578,25371.96962,28092.93231
original_gldm_LargeDependenceLowGrayLevelEmphasis,2.305677014,1.739149636,3.054778163,1.642554519,2.176173869,1.648482945
original_gldm_LowGrayLevelEmphasis,0.025625846,0.025063498,0.032979641,0.025951166,0.029932073,0.023548827
original_gldm_SmallDependenceEmphasis,0.194338351,0.199066899,0.211556165,0.19175186,0.160116978,0.173218191
original_gldm_SmallDependenceHighGrayLevelEmphasis,114.2888314,124.3103737,123.863615,110.6607726,90.41670897,101.0942532
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.002281201,0.002184993,0.002847032,0.002723031,0.002586567,0.002405095
original_glrlm_GrayLevelNonUniformity,373.315076,420.2269282,350.0986431,463.6165147,875.6803548,479.2910671
original_glrlm_GrayLevelNonUniformityNormalized,0.047292609,0.04760497,0.051147825,0.054631147,0.056076693,0.055808452
original_glrlm_GrayLevelVariance,196.7912522,193.7275731,202.1764368,209.6981992,211.0529948,213.4299771
original_glrlm_HighGrayLevelRunEmphasis,492.3793032,478.4407052,493.7824804,533.4649952,527.8998827,584.8333089
original_glrlm_LongRunEmphasis,1.968151474,1.815123967,1.986418734,1.838331612,2.01114674,1.941449578
original_glrlm_LongRunHighGrayLevelEmphasis,821.6967166,720.4618994,791.5375952,891.6396223,985.6645151,1085.114067
original_glrlm_LongRunLowGrayLevelEmphasis,0.059645426,0.051793676,0.077570518,0.052311258,0.065467523,0.04996945
original_glrlm_LowGrayLevelRunEmphasis,0.022971988,0.023038731,0.029407285,0.024447904,0.02830067,0.022191092
original_glrlm_RunEntropy,5.710580688,5.65981009,5.666881362,5.517655006,5.565307478,5.495842373
original_glrlm_RunLengthNonUniformity,5502.746822,6333.137731,4773.3349,6023.346089,10570.39969,5892.308941
original_glrlm_RunLengthNonUniformityNormalized,0.696307368,0.716446814,0.696664772,0.708675535,0.675579403,0.68492892
original_glrlm_RunPercentage,0.801922881,0.821293511,0.800199917,0.816881577,0.79227174,0.800272548
original_glrlm_RunVariance,0.404930238,0.325717154,0.415938581,0.332274826,0.405850282,0.372423607
original_glrlm_ShortRunEmphasis,0.859821054,0.87097872,0.859873303,0.866728732,0.848100592,0.853613959
original_glrlm_ShortRunHighGrayLevelEmphasis,439.7840708,436.2824039,445.371089,472.5335619,455.7887678,504.7473467
original_glrlm_ShortRunLowGrayLevelEmphasis,0.018144183,0.018753244,0.023065678,0.020195879,0.022914037,0.018053294
original_glszm_GrayLevelNonUniformity,52.30889541,57.013907,49.21338912,53.76360135,85.2603623,51.06428201
original_glszm_GrayLevelNonUniformityNormalized,0.02556642,0.024777882,0.02573922,0.02588522,0.026177575,0.026471893
original_glszm_GrayLevelVariance,132.5683149,156.9106805,137.1265165,137.5618959,130.3306568,136.127123
original_glszm_HighGrayLevelZoneEmphasis,606.6412512,644.531508,596.9508368,593.7761194,574.871047,596.1840332
original_glszm_LargeAreaEmphasis,1509.229228,1517.401999,1344.10251,1494.077997,4065.377955,2304.768792
original_glszm_LargeAreaHighGrayLevelEmphasis,156083.8807,119531.6202,161066.9106,284982.4766,1162839.644,1159364.257
original_glszm_LargeAreaLowGrayLevelEmphasis,64.63441539,61.02799011,76.91816229,61.30777417,171.9782769,72.15248743
original_glszm_LowGrayLevelZoneEmphasis,0.0108027,0.010432137,0.0122223,0.013830558,0.016076517,0.012315966
original_glszm_SizeZoneNonUniformity,956.2189638,1029.369405,967.8964435,1001.801156,1510.672091,909.3836185
original_glszm_SizeZoneNonUniformityNormalized,0.467360197,0.447357412,0.506221989,0.48233084,0.463823178,0.471427485
original_glszm_SmallAreaEmphasis,0.710457263,0.695527709,0.738944471,0.72188183,0.708230075,0.713845973
original_glszm_SmallAreaHighGrayLevelEmphasis,419.9134186,448.1366206,431.7494112,411.479766,395.9600932,405.0938273
original_glszm_SmallAreaLowGrayLevelEmphasis,0.007005323,0.005825866,0.008062026,0.008557011,0.009230528,0.008694507
original_glszm_ZoneEntropy,6.94836541,7.11588389,6.843160865,6.887914535,6.967473764,6.891299599
original_glszm_ZonePercentage,0.20807485,0.21424581,0.223835167,0.200096339,0.165464337,0.17986014
original_glszm_ZoneVariance,1486.131949,1495.616108,1324.1433,1469.102064,4028.852874,2273.856576
original_ngtdm_Busyness,0.878033362,0.688412925,0.788384595,0.953499467,1.171228189,0.702959612
original_ngtdm_Coarseness,0.001321671,0.00114688,0.001328468,0.00105103,0.000683879,0.001127719
original_ngtdm_Complexity,2634.407203,5789.483918,3483.085784,2375.428838,2732.848469,2178.455677
original_ngtdm_Contrast,0.278792319,0.176759476,0.269413885,0.336538905,0.211389623,0.286334677
original_ngtdm_Strength,3.136964066,7.530763613,4.754523944,2.416580936,2.682104223,2.766744283
