0,BEPreN3,BEPreN4,BEPreN2,BEPre,BEPreN1,BEPreN5,BEPreN6,BEPreN7,BJPreN2,BJPreN3,BJPreN1,BJPre,CTPre,CTPreN1,FJPre,FJPreN1,LKPre,LKPreN1,LKPreN2,LKPreN3,LKPreN4,LKPreN5,LKPreN6,HDPreN6,HDPreN3,HDPreN4,HDPre,HDPreN5,HDPreN2,HDPreN1,MBPre,MBPreN1,SBPre,SBPreN2,SBPreN1,SBPreN3,SWPre,SWPreN1
diagnostics_Mask-original_VoxelNum,1733,1817,1788,3002,1292,1661,2195,1539,3690,2423,2957,4351,2924,2595,3142,2241,2688,2288,2772,2469,2694,2699,2704,1845,1245,2061,1498,2262,1858,1667,1595,2735,2489,2261,2566,2249,2051,2738
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(303.05481823427584, 307.28563185227927, 112.08944027697635)","(327.7600440286186, 284.8189323059989, 111.06769400110072)","(336.70413870246085, 293.94519015659955, 113.02348993288591)","(312.5802798134577, 297.6455696202532, 128.02331778814124)","(314.2631578947368, 272.46826625386996, 117.99767801857585)","(327.1493076459964, 266.4310656231186, 106.05057194461168)","(319.4646924829157, 281.98177676537586, 104.0)","(321.4587394411956, 296.7238466536712, 122.94996751137101)","(306.39349593495933, 293.64037940379404, 129.03252032520325)","(286.2562938505984, 288.7304993809327, 150.03590590177467)","(301.54819073385187, 283.1055123435915, 138.0027054447075)","(286.88968053321076, 302.0271202022524, 105.90921627212136)","(316.21819425444596, 276.8112175102599, 178.99487004103966)","(264.04046242774564, 263.99730250481696, 174.0)","(321.2402928071292, 292.9411203055379, 108.99904519414386)","(287.1918786256136, 300.855421686747, 142.0066934404284)","(315.45424107142856, 291.9769345238095, 114.00446428571429)","(296.430506993007, 291.73645104895104, 106.00174825174825)","(344.6295093795094, 276.961038961039, 121.93939393939394)","(306.82867557715673, 291.77804779262857, 119.9935196435804)","(316.5549368968077, 280.0059391239792, 128.0022271714922)","(291.3645794738792, 283.95035198221564, 115.99703593923675)","(291.37795857988164, 272.02847633136093, 100.00258875739645)","(311.32357723577235, 264.1669376693767, 134.00271002710028)","(336.2578313253012, 250.33734939759037, 142.07469879518072)","(304.9005337214944, 270.47404172731683, 139.99611838913148)","(312.6648865153538, 252.9158878504673, 142.01935914552737)","(301.54376657824935, 245.5419982316534, 144.00353669319188)","(291.5139935414424, 256.4822389666308, 138.00645855758881)","(325.2993401319736, 268.374925014997, 114.00839832033593)","(321.6532915360502, 303.06206896551726, 118.99373040752351)","(321.20475319926874, 296.54113345521023, 124.0)","(318.8473282442748, 267.08597830454, 89.10928083567698)","(299.31313578062804, 263.0866873065016, 106.00088456435206)","(356.7139516757599, 280.60561184723304, 110.05027279812938)","(298.87194308581593, 268.97910182303247, 121.9955535793686)","(259.9063871282301, 279.0965382740127, 59.011214041930764)","(314.50328707085464, 287.1285609934259, 51.9627465303141)"
diagnostics_Mask-original_CenterOfMass,"(303.05481823427584, 307.28563185227927, 112.08944027697635)","(327.7600440286186, 284.8189323059989, 111.06769400110072)","(336.70413870246085, 293.94519015659955, 113.02348993288591)","(312.5802798134577, 297.6455696202532, 128.02331778814124)","(314.2631578947368, 272.46826625386996, 117.99767801857585)","(327.1493076459964, 266.4310656231186, 106.05057194461168)","(319.4646924829157, 281.98177676537586, 104.0)","(321.4587394411956, 296.7238466536712, 122.94996751137101)","(306.39349593495933, 293.64037940379404, 129.03252032520325)","(286.2562938505984, 288.7304993809327, 150.03590590177467)","(301.54819073385187, 283.1055123435915, 138.0027054447075)","(286.88968053321076, 302.0271202022524, 105.90921627212136)","(316.21819425444596, 276.8112175102599, 178.99487004103966)","(264.04046242774564, 263.99730250481696, 174.0)","(321.2402928071292, 292.9411203055379, 108.99904519414386)","(287.1918786256136, 300.855421686747, 142.0066934404284)","(315.45424107142856, 291.9769345238095, 114.00446428571429)","(296.430506993007, 291.73645104895104, 106.00174825174825)","(344.6295093795094, 276.961038961039, 121.93939393939394)","(306.82867557715673, 291.77804779262857, 119.9935196435804)","(316.5549368968077, 280.0059391239792, 128.0022271714922)","(291.3645794738792, 283.95035198221564, 115.99703593923675)","(291.37795857988164, 272.02847633136093, 100.00258875739645)","(311.32357723577235, 264.1669376693767, 134.00271002710028)","(336.2578313253012, 250.33734939759037, 142.07469879518072)","(304.9005337214944, 270.47404172731683, 139.99611838913148)","(312.6648865153538, 252.9158878504673, 142.01935914552737)","(301.54376657824935, 245.5419982316534, 144.00353669319188)","(291.5139935414424, 256.4822389666308, 138.00645855758881)","(325.2993401319736, 268.374925014997, 114.00839832033593)","(321.6532915360502, 303.06206896551726, 118.99373040752351)","(321.20475319926874, 296.54113345521023, 124.0)","(318.8473282442748, 267.08597830454, 89.10928083567698)","(299.31313578062804, 263.0866873065016, 106.00088456435206)","(356.7139516757599, 280.60561184723304, 110.05027279812938)","(298.87194308581593, 268.97910182303247, 121.9955535793686)","(259.9063871282301, 279.0965382740127, 59.011214041930764)","(314.50328707085464, 287.1285609934259, 51.9627465303141)"
original_shape_Elongation,0.946437073,0.983529245,0.993898737,0.977895507,0.986751151,0.992363149,0.971337115,0.94819549,0.991822448,0.995228233,0.994116224,0.998066435,0.98800793,0.991510015,0.984291755,0.995157287,0.997848955,0.991576925,0.986837778,0.980535075,0.992646866,0.992301516,0.990907831,0.980079922,0.979540154,0.991251278,0.988986094,0.988553445,0.994376045,0.976172961,0.988695839,0.982419271,0.994425308,0.982656015,0.970312668,0.988996346,0.970109169,0.993879439
original_shape_Flatness,0.251371079,0.259088677,0.258185528,0.202170608,0.301893539,0.267851099,0.234695609,0.270184269,0.182111096,0.222305654,0.205189038,0.168185866,0.204840311,0.2177016,0.196433811,0.230533194,0.214665345,0.231250872,0.209171622,0.216635526,0.214447354,0.213839017,0.212776866,0.253696024,0.310086731,0.242846051,0.280290606,0.230275209,0.254509402,0.26674612,0.275971239,0.211381265,0.219423725,0.232429044,0.211310896,0.23202149,0.235315809,0.211605494
original_shape_LeastAxisLength,5.578980696,5.660798789,5.57937701,5.676663727,5.564955174,5.567208675,5.656854249,5.579005156,5.668037219,5.572582026,5.66001071,5.631342998,5.640656743,5.65207122,5.633558296,5.607823839,5.649143214,5.625532183,5.641519583,5.55461173,5.653576159,5.651293103,5.632562737,5.610526412,5.637767803,5.617632913,5.566877992,5.599204234,5.60145563,5.617097267,5.630976593,5.656854249,5.589398932,5.651100948,5.570215893,5.622017656,5.535970479,5.646414775
original_shape_MajorAxisLength,22.19420277,21.84888534,21.60995251,28.07858065,18.43350209,20.78471473,24.10294032,20.64888967,31.12406298,25.06720777,27.58437185,33.48285521,27.53684909,25.96246988,28.67916822,24.32545066,26.31604651,24.32653393,26.97076941,25.64035477,26.36346899,26.42779217,26.4716877,22.1151531,18.18126103,23.1324862,19.86109371,24.3152715,22.00883578,21.05784056,20.40421538,26.76137946,25.47308383,24.31323056,26.36028711,24.23059026,23.52570571,26.68368707
original_shape_Maximum2DDiameterColumn,26.30589288,23.34523506,22.36067977,29.27456234,20.39607805,22.36067977,24.33105012,23.34523506,32,26.30589288,28.28427125,36,28.28427125,27.29468813,30.2654919,25.3179778,26.30589288,26.30589288,27.29468813,27.29468813,27.29468813,27.29468813,27.29468813,23.34523506,19.41648784,23.34523506,20.39607805,26.30589288,22.36067977,22.36067977,21.37755833,27.29468813,27.07397274,24.33105012,27.29468813,25.17935662,26.30589288,30.2654919
original_shape_Maximum2DDiameterRow,24,23.02172887,23.34523506,29.27456234,18.43908891,22.20360331,23.34523506,20.39607805,34.23448554,27.16615541,29.15475947,36.22154055,29.15475947,27.29468813,30.2654919,25.3179778,27.29468813,25.3179778,29.27456234,27.29468813,27.29468813,28.28427125,29.27456234,22.36067977,20.39607805,25.3179778,22.20360331,26.30589288,24.33105012,22.36067977,21.37755833,26.30589288,27.29468813,26.30589288,30.2654919,26.30589288,24.33105012,27.29468813
original_shape_Maximum2DDiameterSlice,24.0208243,23.34523506,22.84731932,30.52867504,19.10497317,21.84032967,24.73863375,21.63330765,33.73425559,26.2488095,28.44292531,36.12478374,28.44292531,26.83281573,29.42787794,25.07987241,27.31300057,25.29822128,28.3019434,26.40075756,27.29468813,27.45906044,27.29468813,22.84731932,19.41648784,24.08318916,20.61552813,25.29822128,22.82542442,21.63330765,21.40093456,27.45906044,27.29468813,25.17935662,27.89265136,25.17935662,24.51530134,28.44292531
original_shape_Maximum3DDiameter,26.98147513,23.9582971,24.53568829,30.52867504,21.26029163,23,25.05992817,24.10394159,34.94281042,27.45906044,29.17190429,36.34556369,29.22327839,27.80287755,31.06444913,26.72077843,28.51315486,26.60826939,29.69848481,28.74021573,27.96426291,28.72281323,29.3428015,24.67792536,20.61552813,25.8069758,22.75961335,27.31300057,24.65765601,23.76972865,22.56102835,27.74887385,28.08914381,26.47640459,30.85449724,26.98147513,27.22131518,30.33150178
original_shape_MeshVolume,1700.916667,1786.708333,1775.166667,2962.5,1278.125,1639.416667,2175.833333,1518.958333,3673.625,2407.791667,2930.083333,4308.416667,2895.5,2578.666667,3111.541667,2227.666667,2672.958333,2258.375,2752.708333,2450.583333,2671.625,2671.75,2680.916667,1822.208333,1230.583333,2045.458333,1467.041667,2244.958333,1844.583333,1644,1581.75,2721.083333,2462.791667,2243.333333,2549.083333,2215.125,2031.833333,2700.625
original_shape_MinorAxisLength,21.0054163,21.4890177,21.47810452,27.45791785,18.18927939,20.62598496,23.41208052,19.57918406,30.86954433,24.94759288,27.42207158,33.41811393,27.20662527,25.7420489,28.22866882,24.20764947,26.2594395,24.12162971,26.61577416,25.14126719,26.16961487,26.22433824,26.23100264,21.67461753,17.80927523,22.93010651,19.64234549,24.03694539,21.88505909,20.55609457,20.17356286,26.29089491,25.33107923,23.89154225,25.57772052,23.96396523,22.82250282,26.52036794
original_shape_Sphericity,0.567200865,0.617861048,0.629472341,0.570295287,0.689087617,0.660914247,0.625909791,0.641005683,0.515384847,0.614592545,0.600874543,0.53832147,0.597626795,0.597382628,0.567854342,0.59234275,0.594174313,0.621380853,0.579549166,0.589711103,0.603569425,0.601792538,0.603295957,0.624129847,0.667040592,0.639232184,0.643695836,0.614205537,0.632830019,0.628298041,0.663058034,0.598877189,0.597792904,0.617867583,0.551570162,0.603196609,0.601054109,0.577225236
original_shape_SurfaceArea,1214.88713,1152.468551,1126.333225,1749.134668,826.529893,1017.337941,1297.346935,996.9028058,2233.995842,1413.544358,1647.986441,2378.597119,1643.878731,1522.281629,1815.087592,1392.551241,1567.587208,1339.646754,1638.956037,1490.588628,1542.673049,1547.276293,1546.948727,1155.955701,832.5414798,1219.043632,969.9850866,1349.923798,1149.377185,1072.143609,990.1275509,1573.889536,1475.316341,1341.27528,1636.085703,1362.356367,1290.711782,1624.731762
original_shape_SurfaceVolumeRatio,0.714254351,0.645023326,0.634494352,0.590425204,0.646673755,0.620548736,0.5962529,0.656306881,0.608117552,0.587070874,0.562436714,0.552081496,0.567735704,0.590336723,0.583340282,0.625116523,0.58646152,0.59319057,0.595397637,0.608258698,0.577428737,0.579124654,0.57702231,0.634370769,0.676542138,0.595975783,0.661184415,0.60131352,0.623109384,0.65215548,0.625969686,0.578405489,0.599042282,0.597893884,0.641832961,0.6150246,0.635244909,0.601613242
original_shape_VoxelVolume,1733,1817,1788,3002,1292,1661,2195,1539,3690,2423,2957,4351,2924,2595,3142,2241,2688,2288,2772,2469,2694,2699,2704,1845,1245,2061,1498,2262,1858,1667,1595,2735,2489,2261,2566,2249,2051,2738
original_firstorder_10Percentile,296,261,194,243,376,227,230,248,69,137,113,147,256,252,104,105,329,164,147,346,290,168,52,305.4,252,126,294,280,261,430,137,117,405.8,268,92,270,203,181
original_firstorder_90Percentile,355,334,238.3,313,453,274,276,295,126,197,163,234,291,298,160,153,379,191,179,393,344,207,229,365,322.6,175,341,352,323,480,177,173,477,322,299,335.2,247,225
original_firstorder_Energy,185196539,162095547,84192459,234602863,222754267,104859248,142084780,113867176,36940778,68519236,58208269,163213050,218987367,196902746,56393826,37893607,337610844,72180327,73865775,338800229,271703295,96800846,66359532,209924174,104550933,47197003,152388424,227990739,161844528,345526034,39803854,59130425,480293942,198700619,115322469,208232846,104596224,113198226
original_firstorder_Entropy,1.993356146,2.265333389,1.625541158,2.239118995,2.442257954,1.775336056,1.69837382,1.733000527,1.987660368,2.024478254,1.822499069,2.554872789,1.340867355,1.685626281,1.93734255,1.738986448,1.759999648,1.128973265,1.297941423,1.699716099,1.916059583,1.453172048,3.515803383,1.953468919,2.196178296,1.753870306,1.704299907,2.245197859,2.002853926,1.814617168,1.544520433,1.95144683,2.535654549,1.850630283,3.701142266,2.102361815,1.633680053,1.629392974
original_firstorder_InterquartileRange,29,38,23,37,36.25,25,23,25,29,31,27,44.5,18.25,24,29,26,26,14,17,24,29,21,95,30,37,26,24,37,32,26,21,29,31,28,101,34,24,23
original_firstorder_Kurtosis,3.227773814,3.06581331,2.833020113,22.18931855,8.148209855,11.96509168,3.032382372,3.135354162,4.001543539,3.138413682,4.391422293,5.688530088,2.952916362,3.122894773,9.189560174,2.957593652,2.80297239,3.155251533,3.315826496,4.758550715,3.12868938,2.711576761,2.884854042,2.803951064,2.663677018,2.891490657,3.35612698,2.854238525,2.812335937,11.75837256,3.001534553,3.257132694,28.10117334,2.794214464,3.240117009,2.879399125,2.99467104,3.046909462
original_firstorder_Maximum,412,384,270,719,587,453,313,330,192,247,215,311,322,341,397,191,415,226,221,445,405,229,360,399,361,208,364,399,367,527,212,226,529,352,447,384,280,281
original_firstorder_MeanAbsoluteDeviation,17.95651234,22.42948015,13.80745487,22.05502417,25.10425193,15.35791057,14.21592125,14.69568224,18.04965915,18.75621081,15.84245565,27.49563823,10.69826391,14.32189872,17.40023322,14.91869486,15.44765758,8.469660038,10.38054504,14.5305969,17.04032139,12.10491007,55.32773056,18.06077629,21.62333511,15.41708365,14.63543559,22.20583453,18.91181415,15.98835218,12.74493765,17.56904238,62.49740627,16.65330809,62.25405491,20.10483351,14.04199067,13.68590212
original_firstorder_Mean,326.1090594,297.3379196,216.3182327,278.0243171,413.7267802,250.3877182,253.7922551,271.3645224,97.34471545,166.4969047,138.8092661,190.2546541,273.3361833,274.8639692,132.0617441,128.6894244,353.8794643,177.298514,162.722583,369.9623329,316.8518931,188.8002964,140.772929,336.5615176,288.5502008,150.0839398,318.4045394,316.2577365,294.2055974,454.7870426,157.1648903,145.3553931,418.0514263,295.7262273,196.7299299,303.2494442,225.1487079,202.6099343
original_firstorder_Median,326,297,216,277,417,250,254,271,98,166,140,191,273,274,131,129,354,177,163,371,317,190,140,338,288,150,320,317,296,455,158,145,449,296,199,304,225,202.5
original_firstorder_Minimum,239,193,165,172,188,183,192,212,-50,77,17,-22,225,208,63,57,294,139,121,244,238,124,-116,260,211,83,248,230,219,254,94,57,-746,217,-148,217,158,146
original_firstorder_Range,173,191,105,547,399,270,121,118,242,170,198,333,97,133,334,134,121,87,100,201,167,105,476,139,150,125,116,169,148,273,118,169,1275,135,595,167,122,135
original_firstorder_RobustMeanAbsoluteDeviation,12.64814815,15.71199872,9.929909843,15.34846787,15.87206363,10.29871891,9.954611234,10.21850114,12.45811949,13.10367527,10.81318142,18.74734069,7.714805167,10.02922289,12.05210857,10.60192408,10.93809014,6.149488456,7.351659622,10.21367668,12.08588721,8.898435816,39.42978207,12.78996067,15.54341563,10.7963253,10.19483293,15.66173918,13.64266469,11.2114963,9.012383147,12.3989991,13.21396,11.99534624,43.15258389,14.2372156,10.08820411,9.784235985
original_firstorder_RootMeanSquared,326.9016794,298.6813314,216.9965553,279.5511672,415.2233416,251.2572217,254.4230867,272.0069276,100.0552395,168.1626524,140.3029104,193.6791626,273.6660015,275.4591515,133.9715832,130.0355339,354.3998763,177.6157249,163.23941,370.4343936,317.5767185,189.3817538,156.6564619,337.3129706,289.7872547,151.3276246,318.9481461,317.4770256,295.1386968,455.273726,157.9727646,147.0370683,439.2796717,296.4485489,211.9964751,304.2845416,225.8266401,203.3307621
original_firstorder_Skewness,-0.136113239,-0.053346428,-0.003097257,1.603991018,-1.085169995,1.008117541,-0.039392954,-0.068219746,-0.121883368,0.111908382,-0.474412909,-0.711546691,-0.012179302,0.099603869,0.690918365,-0.042553188,-0.052941478,0.064735695,0.137503404,-0.507003956,0.083842513,-0.300048384,-0.018628266,-0.223747192,-0.002117168,0.098827351,-0.464231225,-0.111428302,-0.321534417,-1.002432458,-0.121834025,0.050459733,-4.702546664,-0.038705533,-0.094826817,-0.104365699,-0.123912541,0.098599581
original_firstorder_TotalEnergy,185196539,162095547,84192459,234602863,222754267,104859248,142084780,113867176,36940778,68519236,58208269,163213050,218987367,196902746,56393826,37893607,337610844,72180327,73865775,338800229,271703295,96800846,66359532,209924174,104550933,47197003,152388424,227990739,161844528,345526034,39803854,59130425,480293942,198700619,115322469,208232846,104596224,113198226
original_firstorder_Uniformity,0.292499656,0.245166045,0.374819828,0.250332113,0.232616291,0.35018509,0.357778758,0.352848465,0.300067861,0.289209255,0.335163496,0.205407834,0.441477765,0.361168692,0.308662012,0.345764833,0.339205718,0.495219051,0.494089264,0.363127815,0.306610858,0.414884357,0.100623993,0.300691975,0.250206932,0.342250115,0.358141073,0.243830917,0.287712866,0.335955484,0.403292027,0.304389373,0.275452086,0.318390155,0.090869023,0.270837629,0.373764234,0.373643726
original_firstorder_Variance,517.5893755,800.699239,293.9272515,851.3341855,1240.574732,436.1820045,320.5982999,349.0646543,535.057323,557.4584097,416.8942936,1314.784611,180.4112626,327.5425746,508.0808471,348.2721282,368.5970783,112.5826551,168.4659691,349.5121494,459.850002,219.8967617,4724.229504,506.384969,715.4346285,374.8609793,346.4691917,772.7058973,549.9168255,442.9114578,254.59162,491.709162,18199.63496,427.7406169,6239.840156,628.8568527,305.7306895,292.613371
original_glcm_Autocorrelation,21.10027846,29.31972794,10.13768958,31.84143074,104.0236048,12.58006374,13.62301754,11.494428,41.88033305,18.11057417,37.37686725,84.75906186,6.100654077,12.40518847,14.47403356,13.63433174,13.84794805,7.087840954,9.303743668,40.53246642,18.06372402,16.88661517,124.3545012,16.3058187,17.42156489,13.16972278,18.56775878,17.96489262,18.7582138,76.1770719,14.57462981,18.77676675,2287.494694,19.11008165,207.783029,22.02347663,12.1915104,13.10739365
original_glcm_ClusterProminence,15.571606,28.33605466,4.450135731,85.36518502,168.3826807,20.90120549,6.080767256,7.30028623,18.3790485,20.61777425,15.05246975,161.4232627,2.371747851,7.463682011,18.34347243,6.842027048,9.862849073,1.252362151,2.488447604,8.631810889,17.63645771,4.737876841,648.429267,20.99539139,34.11027525,12.37132517,11.12123896,37.50614385,19.59262606,13.236633,4.282446955,12.81346212,155266.8518,11.12647372,1527.309529,19.70470501,4.505929948,5.030751584
original_glcm_ClusterShade,-0.59483536,-0.148448484,-0.04111191,3.74272276,-9.104873346,0.959884346,-0.018155102,-0.166187666,-0.176441426,0.558104886,-1.250871901,-8.53466739,0.02038457,0.290122277,0.787080327,-0.210837442,-0.243501184,-0.127852478,0.100348651,-0.475651296,0.66443037,-0.337480211,-1.378842601,-1.156161952,-0.48670271,0.266953606,-0.955214885,-1.303518685,-1.623561457,-0.057109252,-0.175394133,0.117412686,-2796.981262,-0.199918334,-8.873137585,-0.637432307,-0.075985202,0.130790086
original_glcm_ClusterTendency,2.252989778,3.063348735,1.22453984,3.102904117,4.549911238,1.658177313,1.422041742,1.541850243,2.277614994,2.549167838,1.926202575,5.079658042,0.942780109,1.566621264,2.00519357,1.499357514,1.86883288,0.710126541,0.852967545,1.555762297,2.437410357,1.338353826,14.75538156,2.700878333,3.634499423,2.097558653,1.867736851,3.690714949,2.592990559,1.734078805,1.198149498,2.017319019,64.1090373,1.99628634,22.15763106,2.577922628,1.225350997,1.267537552
original_glcm_Contrast,1.425704439,2.345008492,0.977925551,2.318372168,2.430196562,1.210197549,1.072129654,1.09876089,1.215186763,1.257477111,0.965207682,2.955554321,0.515604823,0.844783988,1.373204195,1.125348145,0.770848081,0.380850212,0.513059497,0.738805547,0.894535204,0.399529179,15.77294042,0.778536216,1.233867576,0.574155006,0.632544621,1.606893581,1.1830085,1.128329799,0.771357005,1.467331923,6.353054552,1.033095139,18.17244314,1.667876363,1.004723007,0.987245203
original_glcm_Correlation,0.225075857,0.132852349,0.111653697,0.145112696,0.298016389,0.155274613,0.140635528,0.168121318,0.300771239,0.338836333,0.331224464,0.261226854,0.29127173,0.299137568,0.185928638,0.142470846,0.415930797,0.300403214,0.248097107,0.355097828,0.463217379,0.540079448,-0.032926279,0.551810168,0.493426586,0.570487499,0.492583259,0.393133931,0.373109311,0.209782639,0.216181289,0.157395966,0.822311781,0.317497847,0.09883822,0.214229145,0.098872588,0.124627256
original_glcm_DifferenceAverage,0.891280648,1.16630723,0.720510983,1.13351453,1.135089712,0.78406203,0.757573222,0.764274037,0.813932026,0.820651068,0.701626984,1.313973236,0.470219388,0.651185054,0.864085793,0.779122159,0.616722303,0.37255581,0.463531822,0.585566633,0.676620247,0.388228138,3.148504488,0.62063591,0.815813353,0.50133287,0.546104805,0.95121016,0.789872494,0.758289371,0.613210923,0.901197098,1.208942876,0.734838405,3.354816467,0.968360264,0.726523187,0.721261405
original_glcm_DifferenceEntropy,1.624569759,1.917436629,1.424878739,1.899767887,1.915917498,1.534846581,1.474561514,1.488539206,1.54168281,1.566546499,1.42551803,2.052991559,1.111744237,1.353448645,1.602662935,1.499728936,1.302455252,0.974342043,1.118802199,1.294129388,1.375021695,0.993552916,3.128256266,1.306317287,1.533781118,1.163598466,1.191964631,1.678196506,1.524501179,1.495465537,1.311944092,1.649880127,1.936129942,1.451391302,3.214505937,1.706175187,1.443070574,1.430409752
original_glcm_DifferenceVariance,0.622952739,0.976433816,0.45597097,1.023073608,1.128136872,0.589220456,0.493388388,0.509412038,0.546804108,0.576580726,0.467451,1.209025793,0.291152442,0.415878173,0.62180801,0.513374831,0.384785921,0.239688152,0.295676579,0.39202388,0.429367874,0.246055562,5.819534588,0.387177221,0.550468599,0.317070407,0.326399555,0.680100249,0.546385369,0.54562154,0.391181025,0.648625365,4.798956212,0.482375941,6.832288921,0.709911254,0.473212482,0.462228215
original_glcm_Id,0.633394593,0.572528873,0.68091393,0.58233937,0.585956586,0.66732918,0.670302086,0.669404705,0.654419942,0.655099976,0.689802495,0.546767628,0.772375589,0.705230445,0.64121141,0.663828333,0.716527428,0.815104495,0.776479302,0.730794525,0.69600906,0.807769438,0.354814546,0.71526069,0.655159953,0.761153436,0.741195575,0.619142918,0.664054497,0.67436118,0.718923187,0.632046415,0.64672147,0.679091388,0.344142342,0.615763919,0.680155161,0.681320379
original_glcm_Idm,0.607287418,0.530060044,0.665464052,0.542130575,0.547277301,0.648149861,0.652597652,0.651161648,0.633017228,0.633065057,0.675330428,0.496368003,0.76942885,0.693746974,0.616949752,0.644935084,0.707046037,0.814551535,0.773186857,0.722272785,0.683403844,0.807016035,0.262581713,0.705457332,0.633656344,0.756615779,0.735591579,0.589123665,0.644025006,0.656203728,0.709201616,0.605325092,0.624569639,0.662381929,0.252154161,0.584603315,0.664518072,0.665949573
original_glcm_Idmn,0.979100938,0.973357498,0.964672882,0.99571283,0.991925614,0.991906751,0.972559545,0.971994611,0.988269777,0.976193461,0.988526132,0.985607533,0.970491288,0.978064346,0.993183277,0.971330003,0.979852165,0.985417918,0.980662329,0.991170244,0.9865944,0.989247729,0.96453522,0.979656095,0.976584773,0.984801523,0.983266638,0.97006616,0.977550399,0.992418598,0.979857213,0.978561205,0.997776983,0.980159111,0.971195095,0.975822072,0.974200837,0.980965706
original_glcm_Idn,0.906653156,0.893262978,0.885918983,0.954637934,0.940424062,0.941895802,0.897230885,0.896585624,0.92896737,0.903232162,0.932169416,0.918752395,0.907459947,0.910361261,0.944427606,0.894669471,0.914610828,0.938104851,0.923923255,0.94279578,0.9271911,0.944740642,0.872798908,0.914121732,0.903603093,0.929666311,0.923521041,0.889698739,0.906499354,0.943609133,0.915182745,0.905859148,0.978710823,0.912180393,0.884888003,0.899749031,0.901036997,0.913456759
original_glcm_Imc1,-0.033454216,-0.017636133,-0.014200459,-0.021479759,-0.058817559,-0.025573342,-0.018057603,-0.024071398,-0.046177639,-0.056243335,-0.059775556,-0.036371838,-0.059192502,-0.051117938,-0.023415297,-0.019622077,-0.089680822,-0.072435176,-0.046772888,-0.072631704,-0.104705564,-0.183619312,-0.0185202,-0.14512695,-0.11702608,-0.174613209,-0.134720691,-0.074194665,-0.076269343,-0.037751114,-0.034670111,-0.019200414,-0.199670661,-0.057676493,-0.027178005,-0.035244086,-0.013587181,-0.017221366
original_glcm_Imc2,0.314387395,0.254511771,0.182479944,0.274402365,0.466063057,0.259317447,0.20817261,0.241287102,0.372315906,0.419992181,0.416165143,0.371253829,0.348614545,0.36770561,0.26355429,0.235572211,0.494715142,0.358580184,0.305967618,0.438574898,0.553675935,0.630663332,0.345792227,0.639474232,0.602040899,0.661248858,0.580825876,0.483094675,0.472047986,0.309494746,0.280774444,0.237095693,0.775576908,0.390311012,0.418304328,0.295471009,0.165504345,0.187506228
original_glcm_InverseVariance,0.514824426,0.487432646,0.511486383,0.487217234,0.489193953,0.504549434,0.513356086,0.510266926,0.51368311,0.506063168,0.500798872,0.461995594,0.431252831,0.495275758,0.514901408,0.516041396,0.489370917,0.365298209,0.420283876,0.468149419,0.504291143,0.378339726,0.268347085,0.489340123,0.510729853,0.440608825,0.471968413,0.508848496,0.505090415,0.500237163,0.482609871,0.511593344,0.467183444,0.503902632,0.264071804,0.505267185,0.510674748,0.510871776
original_glcm_JointAverage,4.570929665,5.398158699,3.174273962,5.625409414,10.17313786,3.531005177,3.679052875,3.373962581,6.450933566,4.217509566,6.093978014,9.177574606,2.448234868,3.496360963,3.78363105,3.679781813,3.684205549,2.646778591,3.03623982,6.350446293,4.204510693,4.080670548,11.16283303,3.978081224,4.101372582,3.576114353,4.273033812,4.176586888,4.290181904,8.719262789,3.803667107,4.317301266,47.67638801,4.343877001,14.38007831,4.668608495,3.483692598,3.610721352
original_glcm_JointEnergy,0.089537667,0.061699406,0.143639581,0.064773373,0.063798674,0.12716208,0.129693243,0.12557332,0.099319778,0.093416291,0.124467875,0.046383262,0.213386484,0.14031284,0.101975972,0.12237856,0.131395298,0.282349829,0.263863945,0.15448325,0.107874839,0.21492813,0.010524399,0.114096788,0.077049487,0.146672161,0.150517198,0.066648999,0.095877826,0.12088821,0.17022491,0.095117456,0.103818349,0.110850109,0.008558679,0.078558038,0.143177538,0.141924327
original_glcm_JointEntropy,3.895893843,4.484699867,3.207455018,4.408517015,4.543092441,3.469219401,3.380612211,3.449758649,3.801278848,3.904665537,3.487751661,4.936571047,2.554412569,3.274113787,3.772749489,3.449700053,3.33455284,2.116419718,2.488531004,3.149593589,3.622319807,2.606659669,6.95192475,3.585951492,4.110680399,3.20110553,3.162394775,4.323532304,3.830146214,3.508161485,3.016792397,3.855075774,4.240367479,3.582643142,7.309374895,4.099953165,3.2267566,3.236463995
original_glcm_MCC,0.260043691,0.169350725,0.143504383,0.30215131,0.468365299,0.343028442,0.157674069,0.187291518,0.35595634,0.355936243,0.476357382,0.524133135,0.293615228,0.311732367,0.233955707,0.196918754,0.422447125,0.307364809,0.282802166,0.403957907,0.477124358,0.560064128,0.164717014,0.558003258,0.512921706,0.575307513,0.506266005,0.407429286,0.416101456,0.341000101,0.229573647,0.176125313,0.904885647,0.325333351,0.210517834,0.232964126,0.12064907,0.146248544
