0,BEPreN3,BEPreN4,BEPreN2,BEPre,BEPreN1,BEPreN5,BEPreN6,BEPreN7,BJPreN2,BJPreN3,BJPreN1,BJPre,CTPre,CTPreN1,FJPre,FJPreN1,LKPre,LKPreN1,LKPreN2,LKPreN3,LKPreN4,LKPreN5,LKPreN6,HDPreN6,HDPreN3,HDPreN4,HDPre,HDPreN5,HDPreN2,HDPreN1,MBPre,MBPreN1,SBPre,SBPreN2,SBPreN1,SBPreN3,SWPre,SWPreN1
original_glrlm_ShortRunHighGrayLevelEmphasis,17.25106152,26.00997103,8.164413916,28.2660404,84.12574592,10.36294149,10.65714238,9.200930755,32.51030926,14.18465791,27.38296,72.29051499,4.118997664,9.618880623,12.46523179,10.98190209,10.06537272,3.851492392,6.23157856,27.56385177,13.20944482,9.911917836,124.024336,12.10962643,13.87663526,8.225711452,12.65433632,15.08665424,14.81009729,57.96956528,10.76764294,15.80981309,1671.090652,14.77774004,205.3912252,18.18968124,9.948707672,10.49887744
original_glrlm_ShortRunLowGrayLevelEmphasis,0.048820825,0.035727465,0.101068598,0.031104025,0.010767939,0.087136418,0.071878988,0.094362374,0.021155489,0.058446563,0.023018491,0.013656501,0.160334361,0.073722439,0.072387711,0.073157686,0.068315045,0.11264698,0.089780663,0.019851812,0.051592084,0.040329796,0.010703558,0.060366353,0.070563944,0.068916414,0.047122975,0.07244366,0.055304455,0.011376521,0.060032021,0.05305862,0.001754009,0.047901807,0.006142096,0.048207234,0.078299511,0.068924188
original_glszm_GrayLevelNonUniformity,19.58947368,25.94366197,21.64516129,35.54807692,17.71428571,23.20454545,32,24.02631579,35.32727273,22.51515152,28.24561404,52.23563218,26.64383562,28.38461538,42.5,30.62376238,14.26153846,8.785714286,17.90196078,18.2,16.31111111,8.375,59.43422733,10.09433962,11,8.707317073,7.96969697,17.7962963,21.60869565,19.96202532,13.93877551,39.35,14.29588015,18.39759036,56.21945433,24.77777778,40.54716981,48.38211382
original_glszm_GrayLevelNonUniformityNormalized,0.206204986,0.182701845,0.349115505,0.170904216,0.140589569,0.263688017,0.347826087,0.316135734,0.214104683,0.227425773,0.247768544,0.150102391,0.36498405,0.31191885,0.241477273,0.303205568,0.219408284,0.31377551,0.351018839,0.242666667,0.181234568,0.26171875,0.075905782,0.190459238,0.174603175,0.212373587,0.241505969,0.164780521,0.234877127,0.252683865,0.284464806,0.2459375,0.053542622,0.221657715,0.066689744,0.229423868,0.38252047,0.393350519
original_glszm_GrayLevelVariance,3.479889197,4.847103749,2.611082206,7.200351331,8.784139582,4.640495868,2.759924386,2.877250693,3.839853076,3.892459953,3.196137273,7.31340831,1.920060049,2.542688081,4.045680527,2.671894912,2.60591716,1.667091837,1.37254902,3.239822222,3.040617284,1.609375,15.46148765,2.433606266,2.94834971,2.538964902,2.42056933,4.163580247,3.122282609,4.542220798,2.408163265,3.786875,128.9582123,2.899404848,18.57908194,4.323302469,2.470719117,2.336307753
original_glszm_HighGrayLevelZoneEmphasis,22.74736842,32.66901408,13.75806452,44.48076923,86.53174603,17.86363636,15.7826087,14.67105263,42.43030303,21.46464646,36.81578947,81.38218391,8,16.17582418,20.64204545,16.23762376,15.67692308,10.03571429,10.37254902,35.2,20.03333333,13,137.4750958,18.58490566,18.44444444,14.36585366,18.90909091,22.46296296,21.18478261,74.97468354,15.16326531,23.8125,1642.955056,20.78313253,226.2740214,24.32407407,15.25471698,17.18699187
original_glszm_LargeAreaEmphasis,8505.294737,4994.302817,18949.41935,9206.288462,2733.015873,10587.60227,17945.3587,10528.80263,22647.09091,15303.62626,23735.92105,9113.905172,50746.32877,25664.58242,15796.60227,16129.11881,34700.52308,91270.64286,70186.86275,28256.09333,23047.8,92416.65625,183.1289911,17726.4717,5328.52381,34398.31707,23822.48485,10281.64815,9468.369565,10984.26582,19663.44898,13229.03125,6008.228464,17940.27711,135.3072361,11879.06481,14348.00943,21843.21951
original_glszm_LargeAreaHighGrayLevelEmphasis,182564.1474,147393.1479,197275.2742,285156.9231,286965.0397,135997.8864,242407.7826,122244.9211,954630.1091,278149.6061,914649.5,787475.2989,311394.8219,318687.6044,222945.2443,215752.2475,470040.0308,680791.5357,647446.1765,1161122.893,410272.1222,1568330.438,22647.48404,299339.0377,93803.14286,437810.5854,452988.3939,188236.3519,188149.163,827401.5443,292448.9796,255250.55,14173718.25,344480.3253,29879.53855,268906.9074,182253.9906,287135.1301
original_glszm_LargeAreaLowGrayLevelEmphasis,424.3643204,179.1204357,2024.583952,311.5386775,26.47632537,898.5887403,1439.420015,987.0636659,552.6609102,908.4772277,632.8190499,108.1264432,9689.66876,2256.880641,1222.703095,1308.970996,2811.182205,14052.07286,7805.37421,705.7073943,1424.308459,5728.084184,1.548532851,1165.602259,354.7537383,3015.783577,1339.004672,642.6329939,520.8156846,147.8306741,1399.074133,734.2087798,2.565540308,1006.973873,0.638828166,566.3023123,1227.020118,1800.855326
original_glszm_LowGrayLevelZoneEmphasis,0.099172723,0.06984492,0.24062276,0.055460412,0.028517338,0.235128183,0.157179952,0.23933845,0.040990469,0.131233537,0.04776939,0.027612172,0.489060122,0.153797314,0.15419142,0.160470297,0.173576923,0.306240079,0.198671024,0.054051799,0.113464616,0.146171875,0.016047004,0.138574423,0.152151136,0.191490515,0.116590909,0.177516587,0.120529429,0.031816088,0.149399093,0.114719476,0.006341327,0.106351665,0.008449237,0.110559624,0.182620545,0.130791485
