0,1Test,2Test,3Test,4Test,5Test,6Test,7Test,8Test,9Test,10Test,11Test,12Test,13Test,14Test,15Test,16Test,17Test,18Test,19Test,20Test,21Test,22Test,23Test,24Test
original_glrlm_RunVariance,0.08744468932856195,0.02516508943370776,0.07972661916314525,0.09396318817028768,0.08218705236379474,0.13749838998332636,0.06641778874971647,0.08735549410662066,0.040325987556918026,0.03227283618683606,0.05854718469947438,0.0692972776443456,0.12304703638852311,0.08265964014837873,0.07212763174656303,0.08897394400772497,0.041723736294336705,0.08288591272125614,0.05539555008812195,0.043681354719567765,0.06328990567710971,0.06986854013589855,0.06986854013589855,0.06916865793481743
original_glrlm_ShortRunEmphasis,0.9465488224672772,0.9820671059305321,0.9515967011007725,0.9432161957836868,0.9508361591093002,0.9233157635743807,0.9586030110434532,0.9455085501421949,0.9727495195213886,0.978585158265765,0.9620789203061416,0.9573916853248817,0.9297413367422357,0.9488136111277848,0.9556062194436499,0.9476532808876245,0.971091449188668,0.9491065304501384,0.964466643793291,0.9711825315878524,0.9590151365097681,0.9547980260740014,0.9547980260740014,0.9597092439619573
original_glrlm_ShortRunHighGrayLevelEmphasis,1601.7911972277714,1261.2664170828955,1557.7935143608074,1578.209830636036,1423.9801810834854,1572.4773663966034,1551.5852998516248,1656.4848562704724,1216.110096754595,1393.712981042361,1575.9682872439744,1394.8744625444667,1695.8266837354206,1656.7517810793445,1471.8553826570246,1381.321683193689,540.5588937775708,1584.9395429806568,1195.4352094685246,1300.8901408059505,1703.0759364720714,1732.6432930394715,1732.6432930394715,1386.5867785229932
original_glrlm_ShortRunLowGrayLevelEmphasis,0.003990197542479512,0.01233310245207848,0.002354131557787045,0.0037545933994498617,0.007891313280572913,0.004068140427277593,0.0021174169381881322,0.002642862538131406,0.011002791008911402,0.02872203667805895,0.0064334869634643885,0.00461682940772755,0.0033532776504385316,0.004313669405409212,0.023883640335905836,0.0033462840704905138,0.01458987494518099,0.004112844537429531,0.010266313698639713,0.003211516286706025,0.0011458149426281797,0.0016212903848351118,0.0016212903848351118,0.02370541658073602
original_glszm_GrayLevelNonUniformity,1551.677157610032,15.712408759124088,159.4691671964399,466.97308851356087,413.27641562676365,1894.7135067969807,210.35137362637363,1053.4798928489759,153.59440057430007,13.01628664495114,453.14853091389773,50.68758589097572,202.7115917914587,2056.4694570700763,308.67332650273227,202.1836205779448,67.41279750292625,1606.1637414102509,290.352422907489,21.742424242424242,325.4139366714145,5299.599769820416,5299.599769820416,176.71916071016832
original_glszm_GrayLevelNonUniformityNormalized,0.03179405699553381,0.022937823006020566,0.025344750031220584,0.03272640609107582,0.025915621472801385,0.03513869377046013,0.0288944194541722,0.034415076046159086,0.022052318818994984,0.021199163916858534,0.02722757501134998,0.02321923311542635,0.037476722460983304,0.034238540483660096,0.02635530451696826,0.02619976941530968,0.02630230101557794,0.03515042984659366,0.02368676969387249,0.023530762167125803,0.035653986706630274,0.0383603669107469,0.0383603669107469,0.020373433330662705
original_glszm_GrayLevelVariance,123.59258715587752,154.04879109169377,148.42586121328245,137.2625614733272,147.12064699769797,157.38782222215397,114.06869413038885,160.1961208847983,155.63782629690346,213.77087290050827,153.43020849866377,164.2591545169866,127.82335350984941,113.50115164375067,181.03108727603419,138.02912707226778,120.59748036564032,106.46948137443052,140.47202022375242,144.9965553025618,87.15810348616661,73.42677013754303,73.42677013754303,207.59281762383813
original_glszm_HighGrayLevelZoneEmphasis,1528.4690599131218,1237.6598540145985,1401.5543547361729,1456.3281939869648,1272.5470621433499,1422.3937612433003,1481.1482142857142,1750.0746463689522,1172.1168700646087,1289.055374592834,1507.3279456828698,1205.8364635822263,1675.676280273618,1634.015500391256,1369.7321550546449,1249.1891926914604,571.6667967225907,1547.615113581652,1100.5062000326318,1175.7261904761904,1695.3728497863483,1775.8342127930628,1775.8342127930628,1244.263546230113
original_glszm_LargeAreaEmphasis,1433.3894967625604,2.5956204379562045,211.92530197075652,2333.33345013666,887.552768545808,39990.51523525157,111.84010989010989,1407.1250857534874,5.848528356066044,3.6205211726384365,35.24082196719341,61.824553366926246,2416.505823627288,843.1169272264123,145.7385587431694,596.483996371647,5.131876706984003,1753.7098306123341,41.25673029858052,6.615800865800866,26.55396077572039,67.145635635853,67.145635635853,72.39393590039198
original_glszm_LargeAreaHighGrayLevelEmphasis,2647070.8281903123,3684.7941605839414,414891.9542275906,4382771.1327353,1665163.044898727,73968463.18803434,205303.59752747254,2560712.020776845,8780.38535534817,6151.135179153094,64267.79619059064,114421.10856619332,4549905.7319282675,1561825.5058688377,258825.7137124317,1109806.426849812,2698.4791260241905,3165457.818707051,75598.82631750693,11583.724025974027,50748.710200504,124826.49317785354,124826.49317785354,131816.9587272308
original_glszm_LargeAreaLowGrayLevelEmphasis,1.133154228596371,0.0357950799471767,0.11391850670023364,1.2795061790011961,1.5156002636206005,21.802567987578303,0.06785787893491145,0.8237619388817784,0.20400005673206953,0.14536254076509256,0.04712925905734956,0.04430106439365986,1.3103741210757651,1.4091306800619436,1.1342134469910938,0.3524801112604088,0.07624702225405423,2.004439258105352,0.13226228916842864,0.008072611763581816,0.015552749870460479,0.0694807890887111,0.0694807890887111,2.7248969566745327
original_glszm_LowGrayLevelZoneEmphasis,0.004622843582938272,0.011029266847869548,0.003986996680951059,0.005982051920204021,0.006573771287806794,0.008047542263583252,0.0028166773466570512,0.003256626957817562,0.0067185440644502315,0.023222396621386584,0.008584808899498617,0.0071674343573809845,0.006190518073320329,0.004635990826636666,0.01896198433819799,0.004514531835998058,0.015089318067328793,0.0038513872348192022,0.009852400621014822,0.004523307070409032,0.0016884897140273531,0.001849864124870506,0.001849864124870506,0.015580450308873008
original_glszm_SizeZoneNonUniformity,22349.66625686419,441.3007299270073,3414.606484424666,7241.38068540192,8560.740139211137,27095.79534875095,3702.4453296703296,14495.90379275424,3814.0480976310123,422.1400651465798,8640.323559454426,1218.2194228126432,2575.5694213348124,27677.89183024491,6634.161543715847,4021.3625761306207,1237.2590714007024,22159.82711078041,6338.000978952521,560.7077922077922,4430.472334830722,61166.68746245105,61166.68746245105,4840.230574129582
original_glszm_SizeZoneNonUniformityNormalized,0.45794742760561,0.6442346422292078,0.5426901596351981,0.5074904117598935,0.5368244898232355,0.5025091402004961,0.5085776551744958,0.47355211501598243,0.5476020240676256,0.6875245360693483,0.5191566159619314,0.5580482926306198,0.4761636940903702,0.4608143421115314,0.5664413886369405,0.5211043898057044,0.4827386154509178,0.4849614196783037,0.5170501695996509,0.6068266149434981,0.48542482029480905,0.4427459951101391,0.4427459951101391,0.5580159758046556
original_glszm_SmallAreaEmphasis,0.7038174880561663,0.8298657046489859,0.7647724368299417,0.7403460690245073,0.7609529528792465,0.7368020303041872,0.7412422352997082,0.7155280561510737,0.768500216850103,0.8521242094678383,0.748586445621974,0.7751529431879122,0.717551525611143,0.7060321076961322,0.779987071868445,0.7499807548293892,0.7218112035335777,0.7240763486755667,0.7472664321014532,0.8062252979346819,0.7244165006884142,0.6920564408425615,0.6920564408425615,0.7751474045622689
original_glszm_SmallAreaHighGrayLevelEmphasis,1021.6138599836235,1003.003383310069,1005.9911432859611,1024.3672104817203,922.5642757822777,980.908217769345,1055.4396943039917,1256.0599181457992,875.2844326466244,1028.1579029308368,1081.6938427437242,864.0267783405958,1141.9906431469988,1111.1368789180185,1008.1261208342642,896.08538108733,418.42287433876936,1084.5052216300232,779.0043429612681,896.8955829431502,1196.8982559117485,1212.095235883442,1212.095235883442,903.2989994301278
original_glszm_SmallAreaLowGrayLevelEmphasis,0.00332732132391661,0.008243551489924894,0.0035561778014802188,0.0045407934102171445,0.004993725669263477,0.005895233599698821,0.0022297334673793733,0.0022925645379747463,0.0037968576321465,0.0172806914802985,0.006757262149951109,0.006036873599739541,0.004388030296613995,0.003230435406618379,0.012242292834285283,0.0033931685739451525,0.010852293886355682,0.0028252520570354097,0.0071472389725508595,0.00430389676625687,0.0014308316567808402,0.0013290987013592195,0.0013290987013592195,0.0102772585579997
original_glszm_ZoneEntropy,7.053262493388772,6.43674252855712,6.879442326456623,6.827174174084585,6.890674401112502,6.847229406735161,6.8398425002418,7.080953157200207,6.955805110975072,6.388089714048656,6.955114055063619,6.7928487796999235,6.808678233737138,7.00245683637851,6.852860169553896,6.917824068821071,6.886614168787135,6.836937323266775,7.023734033656856,6.535613436374581,6.734590995833971,6.828934811043823,6.828934811043823,7.059212155399311
original_glszm_ZonePercentage,0.3735733804854525,0.7413419913419913,0.4416058394160584,0.35049495222421456,0.436043968062999,0.25761064821892676,0.47668936616029334,0.35085849207986614,0.6214865708931917,0.7098265895953757,0.4992350841407445,0.4924430408301376,0.2897161221210498,0.3804778857483118,0.47077739368116406,0.41207881668179636,0.589873417721519,0.3845422336674325,0.5386001142405202,0.6247464503042597,0.46466754912941655,0.4172835926385705,0.4172835926385705,0.5233814034876003
original_glszm_ZoneVariance,1426.2239694578661,0.7760754435505355,206.7975101532577,2325.1932240979845,882.2933294090446,39975.446653481806,107.43933582900615,1399.0017198652001,3.259501816332199,1.6358184171715353,31.22855517142821,57.700844551314674,2404.5919038067823,836.2091048681277,141.22656177098264,590.595025306333,2.2579059210052597,1746.947258476434,37.80952524609513,4.0537225220666775,21.92252855866385,61.40265459782092,61.40265459782092,68.74334282991812
original_ngtdm_Busyness,4.383578865245697,0.07010763092555553,0.5590193759940314,1.64468783784536,1.6379864358873428,7.599609174311667,0.5922455591636836,1.3221773479706853,0.6394303494563512,0.0666598693264489,1.3931150853963405,0.2033407173698625,0.5336651644550849,4.6148810522588555,1.3668129672096705,0.798618912284691,0.4381116270054016,4.753891692344678,1.1178387882382488,0.10521616537080944,0.7427823554129529,9.437421620225408,9.437421620225408,0.7941422120285748
original_ngtdm_Coarseness,5.634781883250678e-05,0.0076143651188617986,0.0005323499890555342,0.00016935192585806422,0.00018310473003310435,3.2804379038496776e-05,0.0004770594817713793,8.368577593251961e-05,0.0007242629448640617,0.006153182289765162,0.00020673499739656538,0.0017705392144507631,0.00041606856926654803,4.6241049165966904e-05,0.0002299798301464948,0.0004263174241271647,0.0021467034318928906,5.587817994943711e-05,0.00037407386728388603,0.004449574487594237,0.00035250320457108267,2.0405231494699527e-05,2.0405231494699527e-05,0.00044098664908636043
original_ngtdm_Complexity,7394.691051933568,9463.59853624039,7039.284591842501,5887.753139007363,7815.703772875425,5357.970800046273,8099.736348873981,33667.07291830372,8940.232833743765,12911.82240956137,9066.772452754043,6469.445221729691,5997.168091644785,9219.88624055167,9209.586898914702,5721.951055181919,6581.06795233887,6974.721677389186,7903.459583223566,7459.087508621175,7739.617910081233,11613.618596753193,11613.618596753193,10179.116897145044
original_ngtdm_Contrast,0.1266190250941246,0.6162969642795355,0.2524071164416501,0.15951876766487247,0.28822285307324896,0.1123429933338043,0.17846294182948555,0.033542614784227036,0.4855863249567878,0.9855139076644838,0.2751270011280237,0.38235905108829776,0.0743658323751788,0.09433323416009512,0.46980132343067493,0.2970186458393524,0.2980967825438418,0.13574575419683668,0.3664330451163543,0.5670499479898162,0.11511948943640413,0.05730596925867558,0.05730596925867558,0.5783853485915843
original_ngtdm_Strength,0.129761806680074,7.84340161930587,0.910602295416195,0.364857320091509,0.333879881056474,0.08767604362506896,0.8569851757732435,1.6402832853217681,0.8656159671770227,8.538828589343844,0.3603325406446877,2.5349289938316666,1.1306582507032747,0.12927191051959241,0.40690458261027274,0.6968151107100953,2.6717505833589783,0.12092458268404774,0.4483821130606571,4.948497216737897,0.7326558015605619,0.06914177067445242,0.06914177067445242,0.712448346215797
