diagnostics_Mask-original_Size,"(512, 512, 222)","(512, 512, 241)","(512, 512, 224)","(512, 512, 230)","(512, 512, 218)","(512, 512, 216)","(512, 512, 214)","(512, 512, 251)"
diagnostics_Mask-original_BoundingBox,"(282, 184, 183, 17, 15, 12)","(273, 195, 194, 10, 10, 11)","(309, 193, 171, 12, 12, 12)","(258, 213, 192, 14, 13, 12)","(283, 193, 177, 14, 13, 12)","(284, 171, 174, 13, 12, 11)","(262, 176, 165, 15, 15, 11)","(288, 202, 211, 14, 14, 10)"
diagnostics_Mask-original_VoxelNum,1405,574,865,1131,1048,818,1124,1024
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1,1
original_glrlm_GrayLevelNonUniformity,175.34718785229683,74.16269663287719,116.27965754382532,127.6029818499023,138.33627257316195,104.99129194837414,155.34699345700523,126.73389667521627
original_glrlm_GrayLevelNonUniformityNormalized,0.1556442110961978,0.15859356267484975,0.16800888557596105,0.13562959694653454,0.16431514245292847,0.15746619092769357,0.17651371267894167,0.15360682633420236
original_glrlm_GrayLevelVariance,27.111124643983292,19.954824410487483,17.336385984576822,33.511825717047415,17.027422986604286,13.901086125710764,13.734353530137211,20.6273240002062
original_glrlm_HighGrayLevelRunEmphasis,79.38618888575972,53.70780366223001,55.569248637227595,96.936602770683,61.36526287828258,51.59707686827673,54.04395955526376,72.68371484055992
original_glrlm_LongRunEmphasis,1.9314229148352935,1.816246718268725,1.9291054481196568,1.7111076886191272,1.889925032482032,1.8286419500556017,2.054424384736276,1.8901438177201857
original_glrlm_LongRunHighGrayLevelEmphasis,114.84382081556826,73.69448611489678,81.65870242640428,130.42544693806542,93.06621975499016,75.64227799936215,87.76732806616226,109.44886161442706
original_glrlm_LongRunLowGrayLevelEmphasis,0.06362926816514478,0.11136103226357377,0.09522008233356376,0.04901284304391419,0.07151447873540426,0.08439088062127963,0.07800762131886417,0.061919824695027
original_glrlm_LowGrayLevelRunEmphasis,0.0338729666597588,0.0659160892039251,0.053234428646695954,0.029646801530812894,0.040553274085404926,0.048005854881360104,0.03906562095135598,0.03428820871130357
original_glrlm_RunEntropy,4.045306443976467,3.8826514546721493,3.910817292480071,4.128762920877696,3.918632814578827,3.9216558065313056,3.859972041495051,4.044618417100503
original_glrlm_RunLengthNonUniformity,768.5977537367178,324.35804404817003,471.07552508948925,675.5620376577258,574.3183535174319,464.8754256874845,575.9533750399069,565.0200985613891
original_glrlm_RunLengthNonUniformityNormalized,0.6798987103765989,0.6916543964539247,0.678301191273181,0.7157388041778474,0.6807088514083605,0.6948200237205234,0.6518115587071425,0.6830168769031547
original_glrlm_RunPercentage,0.800875992335067,0.8143929241490218,0.7996442863494888,0.831530980072094,0.8029947152084556,0.8145570810607485,0.7823706542567752,0.8052133413461539
original_glrlm_RunVariance,0.356071899028213,0.29883461042197274,0.35099337316439516,0.2545709777536243,0.33098365368385874,0.30825784322711175,0.4018396794249969,0.3359112931348852
