diagnostics_Mask-original_Size,"(512, 512, 222)","(512, 512, 241)","(512, 512, 224)","(512, 512, 230)","(512, 512, 218)","(512, 512, 216)","(512, 512, 214)","(512, 512, 251)"
diagnostics_Mask-original_BoundingBox,"(283, 316, 181, 22, 23, 13)","(281, 284, 197, 15, 15, 12)","(298, 297, 174, 19, 18, 13)","(263, 331, 190, 21, 21, 12)","(296, 305, 174, 20, 21, 14)","(298, 271, 179, 18, 18, 12)","(279, 300, 167, 21, 21, 13)","(293, 315, 205, 19, 19, 12)"
diagnostics_Mask-original_VoxelNum,2987,1329,2034,2694,2580,1624,2666,2156
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMass,"(293.4800803481754, 326.23334449280213, 187.54201540006696)","(288.2310007524454, 290.74341610233256, 202.55981941309255)","(306.5693215339233, 305.43657817109147, 180.27138643067846)","(273.15924276169267, 340.4446919079436, 195.88418708240533)","(305.2329457364341, 314.46627906976744, 180.87790697674419)","(305.95258620689657, 280.01293103448273, 184.96182266009853)","(288.7100525131283, 309.1605401350338, 173.99024756189047)","(301.77179962894246, 323.8334879406308, 210.49628942486086)"
original_shape_Elongation,0.9057127481259807,0.9469364098329159,0.9564197770030529,0.9269391068122688,0.900078962298516,0.9587649168135627,0.914584561969407,0.8954821169922546
original_shape_Flatness,0.5549518163988203,0.8079269539316098,0.7194719953233089,0.627260506407595,0.6432519899236468,0.6906657622518976,0.6582685464109834,0.6527892573382084
original_shape_LeastAxisLength,11.404539495706258,11.030296392232627,11.723224647268854,11.861099318880202,12.002046704291356,10.589110853679843,12.249547222999078,11.440927579556023
original_shape_MajorAxisLength,20.550503951338182,13.652591163787722,16.29420564451684,18.909367316635805,18.658390323387856,15.331744285621348,18.60873846971141,17.526219144915416
original_shape_Maximum2DDiameterColumn,22.561028345356956,15.811388300841896,19.235384061671343,21.213203435596427,20.8806130178211,18.681541692269406,21.213203435596427,19.6468827043885
original_shape_Maximum2DDiameterRow,23.194827009486403,15.811388300841896,18.601075237738275,21.95449840010015,21.213203435596427,17.26267650163207,21.95449840010015,19.72308292331602
original_shape_Maximum2DDiameterSlice,23.769728648009426,16.1245154965971,19.1049731745428,21.93171219946131,21.18962010041709,18.24828759089466,21.587033144922902,20.248456731316587
original_shape_Maximum3DDiameter,24.919871588754223,17.146428199482248,20.049937655763422,22.9128784747792,21.93171219946131,18.920887928424502,22.11334438749598,20.493901531919196
original_shape_MeshVolume,2950.875,1314.0416666666667,1999.0833333333333,2660.6666666666665,2561.5833333333335,1601.9166666666667,2645.2916666666665,2128.75
original_shape_MinorAxisLength,18.612853409140328,12.928135661553736,15.584100528970684,17.527832050867502,16.794024600435616,14.699538534610566,17.019264922124265,15.694415822759039
original_shape_Sphericity,0.7413171024821752,0.7728320096394785,0.7527860820642783,0.7596798491430271,0.7592284709427607,0.7684687931685259,0.7719987423217957,0.7719626178022355
original_shape_SurfaceArea,1342.0869298440132,750.7092729634862,1019.451280572999,1222.3075573325743,1192.4787026185993,861.5579651601573,1198.1648484875243,1036.6630717689554
original_shape_SurfaceVolumeRatio,0.4548098207629985,0.5712979215246747,0.5099593716651795,0.45939898170855964,0.46552407142142527,0.5378294533590953,0.4529424348874665,0.4869820654228798
original_shape_VoxelVolume,2987.0,1329.0,2034.0,2694.0,2580.0,1624.0,2666.0,2156.0
original_firstorder_10Percentile,-862.4,-877.0,-904.0,-921.0,-924.0,-910.0,-918.0,-922.0
original_firstorder_90Percentile,-123.0,-305.0,-456.29999999999995,-559.2999999999997,-590.0,-626.0,-670.5,-667.5
original_firstorder_Energy,1092078965.0,637352303.0,1196896770.0,1713655426.0,1688124389.0,1046214391.0,1808200209.0,1466119041.0
original_firstorder_Entropy,5.312125831647748,4.918125368416985,4.450077549916487,4.218691436774053,4.134751847930045,4.016138052809545,3.8271804947390256,3.838857202347023
original_firstorder_InterquartileRange,429.5,309.0,180.75,129.75,117.0,110.25,86.0,86.0
original_firstorder_Kurtosis,2.158342855515052,3.3345730074279087,5.63101676977382,8.745092497896064,9.063949380316304,6.631601123822216,9.019506670253671,9.289277639374168
original_firstorder_Maximum,224.0,96.0,133.0,221.0,177.0,-167.0,-87.0,25.0
original_firstorder_MeanAbsoluteDeviation,232.6531024014452,187.63549368404426,143.9830298881647,117.40602642513346,107.27760951865872,90.20702395107864,80.25636463504472,80.67779781840211
original_firstorder_Mean,-539.6615333110144,-652.747178329571,-742.3647984267453,-779.5040831477357,-793.6313953488373,-792.4341133004926,-814.7738184546137,-815.6739332096475
original_firstorder_Median,-590.0,-730.0,-812.0,-834.0,-840.0,-825.0,-844.0,-844.0
original_firstorder_Minimum,-996.0,-1006.0,-998.0,-1005.0,-1011.0,-999.0,-1005.0,-1008.0
original_firstorder_Range,1220.0,1102.0,1131.0,1226.0,1188.0,832.0,918.0,1033.0
original_firstorder_RobustMeanAbsoluteDeviation,179.77420248244954,132.6048351044919,84.91373786468284,63.28448724717518,56.78037025059914,50.70793372781066,40.94113090729285,40.76893535653804
original_firstorder_RootMeanSquared,604.6574521295522,692.5119774969053,767.1015728108302,797.5592467281499,808.8954065156821,802.6335926892797,823.5560937391476,824.6321046809304
original_firstorder_Skewness,0.445321405886821,1.0421370956239078,1.6820557956652882,2.1657053849306305,2.2126658747510093,1.7384305246057872,2.1396328953843002,2.1586117792932566
original_firstorder_TotalEnergy,1092078965.0,637352303.0,1196896770.0,1713655426.0,1688124389.0,1046214391.0,1808200209.0,1466119041.0
original_firstorder_Uniformity,0.027636217157509566,0.04296865490043544,0.0656765178784653,0.07864434093966684,0.08207769965747251,0.08455222160207722,0.10090894816727436,0.10124139046747052
original_firstorder_Variance,74376.06388020671,53493.96015945729,37339.329065667334,28474.136397581802,24460.98699882819,16268.86019096253,14388.264295771993,14694.142752804444
original_glcm_Autocorrelation,492.9852713343073,327.5696231128541,166.05332604716477,138.79296961513302,118.83593249791923,94.488263468203,93.04641400258313,94.23902698045437
original_glcm_ClusterProminence,388805.8004853244,295594.6414921932,225683.40112965187,171963.8936608929,123039.03109879883,48111.45755769131,44469.93680433121,49613.44830891165
original_glcm_ClusterShade,2699.6206828738027,4933.724233042913,4693.757065959819,3622.9938146521704,2751.4473699907862,1337.2755791919476,1247.20460223303,1367.2177967938542
original_glcm_ClusterTendency,429.5629981419598,309.6145922681739,209.47921800242585,150.73863230882768,122.80820727261403,84.93479745283209,72.6446560833292,76.05488388669923
original_glcm_Contrast,55.26502443946735,49.65847938767353,32.18427256739836,23.30111764581761,21.47797649027986,16.129240982196762,12.884249670564259,13.684043648143616
original_glcm_Correlation,0.7723762628488646,0.7244448947496162,0.7336443468283791,0.7319632625932443,0.7003348930556381,0.6812074514312846,0.6980856051292323,0.6946649552751922
original_glcm_DifferenceAverage,5.568441497613588,5.167748381078168,3.756036482754635,3.0905601935515814,2.9381128309031457,2.6954683064239577,2.2604314674873645,2.3519414811759822
