diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,d1cbd93c0a4cdc540acd9bbb7e761d30a03c36ad,3a180b2d834704b44cf2ac6dd3e5916f71615eca,a3549de8f5cff9edcca1387e34b042b3c12200f4,a44fdb6d372fcf497f837f65c84042bdcf45016c,bc5d0eabe580cc188e1ee0d1832c5363905b525b,c629203de592e7ce5fda814ba1b6b6a309b28f8f,253962ed9f55bcbfa9725bf6710ec93a45df3631
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Mask-original_BoundingBox,"(180, 296, 138, 29, 28, 17)","(194, 317, 102, 30, 29, 14)","(146, 283, 139, 31, 32, 18)","(216, 285, 151, 27, 28, 17)","(169, 304, 121, 31, 32, 17)","(154, 289, 157, 31, 38, 18)","(169, 299, 115, 33, 31, 18)"
diagnostics_Mask-original_VoxelNum,4660,4147,6302,4653,5719,7183,6610
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(195.0098712446352, 310.3311158798283, 146.20450643776823)","(210.1138172172655, 332.60525681215336, 109.11574632264288)","(161.46033005395114, 299.01190098381466, 148.2713424309743)","(229.81968622394155, 299.24306898774984, 159.50419084461637)","(185.09092498688582, 320.29445707291484, 129.2622836160168)","(170.04427119587916, 309.12265070304886, 165.53905053598774)","(185.42813918305598, 314.853706505295, 123.61724659606656)"
original_glcm_MCC,0.7758808012789611,0.7197272307985967,0.7756542589482174,0.8205876773027142,0.7360011865269102,0.7334069920505696,0.8621038741085733
original_glcm_MaximumProbability,0.0348649687797009,0.09666023605132246,0.0819905310190819,0.07490244116571569,0.06694835066963549,0.10328172332988654,0.08363750542240404
original_glcm_SumAverage,23.162647554381916,13.571529902161295,12.10727822799357,12.63790113652452,12.780557870720978,12.295997703533695,10.550971777275944
original_glcm_SumEntropy,5.620513716634873,4.449177076079792,4.116184339276012,4.178299113719749,4.32348365770058,4.010839178529206,4.2095581819855274
original_glcm_SumSquares,69.99520997156228,99.80994998876541,18.20874871571617,18.331977398211002,16.709903284493297,14.752504056654159,14.924528196418656
original_gldm_DependenceEntropy,7.295329709805893,6.873342120782707,6.82952933750324,6.762470426303917,6.983385147106546,6.747017957439002,6.970908098703477
original_gldm_DependenceNonUniformity,651.5111587982833,285.4750421991801,421.6366232941923,345.1074575542661,402.5702045812205,465.31184741751355,443.9316187594554
original_gldm_DependenceNonUniformityNormalized,0.13980926154469597,0.06883892987682183,0.06690520839323902,0.07416880669552248,0.07039171263878659,0.06477959730161681,0.06716060798176329
original_gldm_DependenceVariance,7.776185599292673,22.765384653180565,19.412811375713947,16.783326448936833,17.23670584986481,19.822408427992606,19.196950844660705
original_gldm_GrayLevelNonUniformity,266.6562231759657,635.3694236797685,975.8638527451602,679.4973135611433,758.9265605875153,1215.2472504524571,919.3201210287443
original_gldm_GrayLevelVariance,68.59484720661642,92.72266790110181,19.404766496981864,20.117124992881195,17.42865434670008,16.14064834233861,16.815774567942487
original_gldm_HighGrayLevelEmphasis,188.57725321888412,136.2565710151917,55.95525230085687,60.20373952288846,58.05228186745935,53.81525824864263,44.84326777609682
original_gldm_LargeDependenceEmphasis,23.110300429184548,73.00192910537739,73.52935576007617,60.69353105523318,67.59730722154222,78.54754280941111,73.88532526475038
original_gldm_LargeDependenceHighGrayLevelEmphasis,1542.2570815450645,1096.4576802507836,1769.704538241828,1539.7317859445518,1938.330652211925,2063.0492830293747,1363.2260211800303
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.4746641996520526,11.777609260584045,4.3913035636798465,3.3043073888913077,3.8670801374567034,3.854485405312272,9.114889652707076
original_gldm_LowGrayLevelEmphasis,0.040288720252676685,0.12131556277043132,0.052132409477783116,0.04956755671247808,0.05270324184826285,0.045270763658309045,0.10745937530031677
original_gldm_SmallDependenceEmphasis,0.2537035025141561,0.1620748506857418,0.11239013904905239,0.1321253367224823,0.10982118707601633,0.103446478640397,0.10696674016589156
original_gldm_SmallDependenceHighGrayLevelEmphasis,78.88734211204667,80.71435875558218,21.146431005997805,27.235919757414386,19.268970770872176,18.50523544092916,17.379942285793554
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.005011485351951419,0.009564730966852945,0.0038841569406406554,0.004174046001562077,0.0035117606270713138,0.003031802260714016,0.006512632446314907
original_glrlm_GrayLevelNonUniformity,214.58426237259044,408.94438576703914,663.6437991335422,475.9887337560833,528.4225983512781,791.9245781525459,622.7936413426713
original_glrlm_GrayLevelNonUniformityNormalized,0.05176810276903821,0.12830382227846754,0.1391055389358367,0.13035518171732552,0.1204501780497526,0.14797479706410008,0.1247000287159393
original_glrlm_GrayLevelVariance,70.23468431287606,113.77115737033668,23.973637856928896,24.247918234513275,20.979810410141763,20.25791289325644,20.606115655552113
original_glrlm_HighGrayLevelRunEmphasis,201.07771277907582,171.77048531979642,65.59053201321949,69.29384983330277,66.43917329339364,62.73307963765638,52.90098926365811
original_glrlm_LongRunEmphasis,1.448073437545307,2.2631006205955653,2.3028583719179023,2.073441776297701,2.2406083229665446,2.4145958866846633,2.3291315834087816
original_glrlm_LongRunHighGrayLevelEmphasis,238.62712741687457,197.10357303612344,99.33199964984321,98.39915590759733,104.52492133949409,102.15491807982366,79.43031282404883
original_glrlm_LongRunLowGrayLevelEmphasis,0.06484719065873698,0.3067777020050295,0.12621244772281706,0.1061735279082591,0.12169647435866936,0.1124801638608277,0.2613880424832916
original_glrlm_LowGrayLevelRunEmphasis,0.03782191317620886,0.11230298282154252,0.05016132602511004,0.048418236226115026,0.05119531060709684,0.043963450658143916,0.1028005275551849
original_glrlm_RunEntropy,5.196432980917125,4.6763811322126925,4.380803007330851,4.374042715865404,4.517246166962445,4.342962867319421,4.49324913539064
original_glrlm_RunLengthNonUniformity,3362.0786020696182,2068.314602205791,2996.2581866035325,2422.2634340094864,2807.5932774441076,3289.601775887967,3128.8131304967633
