diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,b58c32f15380303943b79115c5bf9093253c1f6a,282a31f1016a24d7c0a791892a308d930b2b74e6,f1fe9d74c08de3437e8f193f716f6c56fa4515f2,a6e3bcb137177fb9c029312f1a587fe4dee28297,9d79235d0a853f54cb7f78aeb15b6adbba1fe265,cb4d1e0c4864c2b0b8a0ce23f98360c86cc1dbda,a5b601c3f05b9357277a99abcce3c5d52e8e6f9d
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 225)","(512, 512, 210)","(512, 512, 241)","(512, 512, 237)","(512, 512, 253)","(512, 512, 238)","(512, 512, 196)"
diagnostics_Mask-original_BoundingBox,"(266, 310, 67, 43, 65, 51)","(255, 307, 59, 44, 67, 50)","(307, 298, 81, 42, 71, 56)","(259, 308, 69, 40, 56, 61)","(266, 298, 73, 48, 62, 60)","(216, 302, 72, 68, 68, 57)","(244, 290, 43, 90, 73, 56)"
diagnostics_Mask-original_VoxelNum,39345,37789,40611,36937,38642,47022,50371
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,2
diagnostics_Mask-original_CenterOfMassIndex,"(289.8364722328123, 346.841352141314, 91.45126445545813)","(276.83524306014976, 342.04548942814046, 83.60951599671863)","(326.0560193051144, 335.66893206274165, 108.50116963384305)","(278.5828031513117, 336.6859246825676, 99.30906678939816)","(290.6405465555613, 330.63213601780444, 102.05776098545624)","(253.51044192080303, 337.5299221640934, 97.80292203649356)","(270.6001866153144, 328.7835857934129, 71.87232733120248)"
original_glrlm_RunPercentage,0.8049072797833758,0.8720445713750645,0.8511562801287259,0.877092179823858,0.8573453356849661,0.8557352859381697,0.9050705305097714
original_glrlm_RunVariance,0.43828302851599443,0.22336417453800386,0.28250952000452,0.19796915914236524,0.2565968553856992,0.278122071984441,0.12102539794344722
original_glrlm_ShortRunEmphasis,0.8670673529441548,0.9104971029086986,0.8970303082079674,0.9121277020711737,0.9001599545447765,0.9006826998858523,0.9286654068060448
original_glrlm_ShortRunHighGrayLevelEmphasis,1197.5798661905776,864.5847506784436,795.1441327798674,728.1785256680458,667.0821322383797,750.7423145811574,233.3221427903046
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0048301410591787925,0.006237774288146054,0.006631295576493261,0.010962461540646633,0.012550535671565537,0.008833763893786905,0.0845172514158237
original_glszm_GrayLevelNonUniformity,195.66283358646126,262.9843722868554,275.05415320115293,255.65399772309308,264.02616123865454,318.17586232365755,551.8977770940697
original_glszm_GrayLevelNonUniformityNormalized,0.021226169840145505,0.02283246850901679,0.024024294977828015,0.022388475148707686,0.023494052432697504,0.023500691507767013,0.042450409744948056
original_glszm_GrayLevelVariance,167.07877934494854,151.2886309736143,138.87112437884213,161.52029982523447,147.77549704320072,141.63327953051416,196.76789050934244
original_glszm_HighGrayLevelZoneEmphasis,1030.3279453243654,813.5309081437749,758.1327626866976,783.2930204045888,707.0361274248087,767.069133614004,406.7759403122837
original_glszm_LargeAreaEmphasis,5987.813733998698,571.0886438617815,1115.551838588523,259.37901742709516,544.8891261790354,515.5745623753601,5154.097915544958
original_glszm_LargeAreaHighGrayLevelEmphasis,11480180.245064005,1087214.8093418996,2041966.0984365446,270639.45835887553,756883.2794091476,741552.7541177339,180033.34228136297
original_glszm_LargeAreaLowGrayLevelEmphasis,3.730044366127155,1.5923009484231994,2.1443450202598546,4.686256724107155,4.975745970048584,5.823672623737873,236.87282138856736
original_glszm_LowGrayLevelZoneEmphasis,0.004468258289092992,0.005567217538793697,0.005243707613311532,0.00684382052184052,0.008199233813917529,0.005565890173111949,0.0922128793585938
original_glszm_SizeZoneNonUniformity,4002.4712518984597,4945.557214794235,5027.0667307188405,5177.468167089938,5183.479444741057,5897.418346997562,6091.225982616722
original_glszm_SizeZoneNonUniformityNormalized,0.4342016979711933,0.4293763860734707,0.4390834772223635,0.45340819398283017,0.4612457238602115,0.43558743976642017,0.4685198048316839
original_glszm_SmallAreaEmphasis,0.6850463603807898,0.6811082431752481,0.6890423193825302,0.7003154658799348,0.7062078180210788,0.6862931940867042,0.7118024516228469
original_glszm_SmallAreaHighGrayLevelEmphasis,690.0517814606426,561.8133925636624,543.8136387694411,554.5145486670474,509.7657315249124,538.6825311711109,318.8717296002259
original_glszm_SmallAreaLowGrayLevelEmphasis,0.002210693836952441,0.003282257218850581,0.0028891766118610534,0.003631082897849835,0.0043516069860523535,0.0030104757875154984,0.05823545383782506
original_glszm_ZoneEntropy,7.47689322121931,7.414360670509487,7.308683357153369,7.3717965376888985,7.2568781976201615,7.363461182335741,6.784016061648128
original_glszm_ZonePercentage,0.23428644046257466,0.3047976924501839,0.2819186919800054,0.30914800877169235,0.2908234563428394,0.2879290544851346,0.25810486192452003
original_glszm_ZoneVariance,5969.595524507716,560.3245704625156,1102.9697639680794,248.91575560237976,533.0657600928839,503.51229314196786,5139.086984528492
original_ngtdm_Busyness,0.6106005691720547,0.9519427383175658,1.081798530338183,1.594959390962095,1.3986069587356846,1.3565252557732066,12.048149542043491
original_ngtdm_Coarseness,0.0004350636696986992,0.00043672677773315497,0.0003818151107449092,0.000417507742986088,0.0003835307934005862,0.00036441107263933425,0.000118143758501105
original_ngtdm_Complexity,4247.448526284477,6290.990207594474,5622.356980965803,5661.364116123542,6223.405732896895,5340.121938620807,8021.761414531875
original_ngtdm_Contrast,0.1331353935832419,0.2407636845527004,0.24417216028352415,0.30735650611479204,0.2635708845239921,0.2410150459968493,0.2248122300358573
