diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,0040b6a6ba02e6db08f95cce53a7dde56c7def94,7bfe57415da2f2ef30bdd8f1aa20fe41e8bc6507,ca3ccf8721bb1d202fe3f275417d1a92a8f120b3,7d4f7445237cb8762a81e4dc0c37d5514a20ee70,2ec95e2613ee2f38ca7b21c6c1bbcdb9ee5b32cb,e890e256792943f06dcf4ffb50f125fdf9cb420c,b94b9d0bac0f00aeef72850f0812ced8b6fb2a36
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 225)","(512, 512, 210)","(512, 512, 241)","(512, 512, 237)","(512, 512, 253)","(512, 512, 238)","(512, 512, 196)"
diagnostics_Mask-original_BoundingBox,"(276, 162, 67, 43, 65, 51)","(267, 170, 60, 39, 62, 50)","(302, 152, 93, 39, 71, 48)","(278, 178, 80, 41, 57, 55)","(272, 157, 80, 46, 63, 55)","(245, 159, 69, 59, 68, 54)","(243, 149, 52, 48, 70, 46)"
diagnostics_Mask-original_VoxelNum,39345,36513,35780,36457,39789,44351,37253
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(299.8364722328123, 198.84135214131402, 91.45126445545813)","(287.1832498014406, 204.8922027770931, 84.12943335250459)","(322.2835103409726, 191.0580212409167, 116.17227501397429)","(300.1825163891708, 209.60062539430012, 106.63979482678224)","(297.6457060996758, 193.36635753600243, 107.21375254467316)","(277.58521792067825, 196.6017677166242, 95.4821762756195)","(269.7192709312002, 188.81896759992483, 74.11368211956083)"
diagnostics_Mask-original_CenterOfMass,"(299.8364722328123, 198.84135214131402, 91.45126445545813)","(287.1832498014406, 204.8922027770931, 84.12943335250459)","(322.2835103409726, 191.0580212409167, 116.17227501397429)","(300.1825163891708, 209.60062539430012, 106.63979482678224)","(297.6457060996758, 193.36635753600243, 107.21375254467316)","(277.58521792067825, 196.6017677166242, 95.4821762756195)","(269.7192709312002, 188.81896759992483, 74.11368211956083)"
original_shape_Elongation,0.5477703727084953,0.5851082547902858,0.5337392010448668,0.6013512626202407,0.5881483527939398,0.48742633666781265,0.5154033681075778
original_shape_Flatness,0.4389410401273557,0.43319376272984017,0.3780205218652843,0.42659332831541164,0.4234073752733344,0.38889015241796576,0.43297562442024856
original_shape_LeastAxisLength,28.215304049485304,26.65386390863689,25.114213054680697,26.141194206111706,27.05957845540079,28.191401861705874,28.174556692998188
original_shape_MajorAxisLength,64.28039638603587,61.52873425663675,66.43611021634081,61.2789569619889,63.90908622678629,72.49194068407967,65.07192346156606
original_shape_Maximum2DDiameterColumn,51.884487084291386,52.0,50.60632371551998,56.43580423808985,56.61271941887264,58.82176467941097,47.50789408087881
original_shape_Maximum2DDiameterRow,68.0,68.8839603971781,75.58438992278762,62.12889826803627,63.13477647065839,59.07622195096772,68.15423684555495
original_shape_Maximum2DDiameterSlice,59.90826320300064,56.04462507680822,57.271284253105414,53.85164807134504,60.166435825965294,60.41522986797286,62.0966987850401
original_shape_Maximum3DDiameter,78.82892870006543,73.3007503372237,82.52272414311103,71.35825109964509,75.87489703452651,84.17244204607586,81.78630692236935
original_shape_MeshVolume,39014.208333333336,36257.583333333336,35553.75,36193.708333333336,39532.125,44047.541666666664,36985.541666666664
original_shape_MinorAxisLength,35.21089668622868,36.000970320356004,35.459556387398464,36.85017814114342,37.58802379285023,35.334481085581324,33.53828852132966
