diagnostics_Image-original_Hash,cae5dc6ef645f4eda288ee95007d7e6b336064b0,69064a8413ef1e96d0ab8c2a0eafb27816cb4adb,28a5ab25d3750a3ec943781760a4f5f2c37d1b10,d17543f9438613a266a44185e7814bfb323e862b,bc97507ebcf8c07c934a06abc7c1f3d532ce6de4
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
original_glcm_JointEnergy,0.030971611600008293,0.04085934311081939,0.04510838918839635,0.04183217390213822,0.03800444108174055
original_glcm_JointEntropy,6.767302131484233,6.350545436783998,6.150743227187101,6.123700926778853,6.242766952444596
original_glcm_MCC,0.7300888126986071,0.7087462181661779,0.7240756003257123,0.7246737043048022,0.6993734710140859
original_glcm_MaximumProbability,0.09342840416462485,0.12524176325795916,0.12381597412302794,0.10771417315102133,0.1073262482770687
original_glcm_SumAverage,20.682643214878468,14.3326625561013,14.94948778982376,15.693265268720515,14.827947957570474
original_glcm_SumEntropy,4.604985127701585,4.385588222959185,4.250220681132342,4.161508541638236,4.197566150695359
original_glcm_SumSquares,56.611557612055705,51.89187390145328,47.50592569290557,41.01768815642021,39.296113838124946
original_gldm_DependenceEntropy,7.018185218314113,6.920962453556028,6.808902688546247,6.692061883901127,6.628892224604678
original_gldm_DependenceNonUniformity,522.829978888107,532.3111574812815,637.2119192120188,1199.6842784227943,992.2805073625893
original_gldm_DependenceNonUniformityNormalized,0.0735862039251382,0.06533830336090359,0.0633978628208157,0.06728836605658166,0.07233419648364114
original_gldm_DependenceVariance,20.964919313742143,25.443449941075226,23.379337877075645,19.707201871704576,17.381813064569883
