diagnostics_Image-original_Hash,cae5dc6ef645f4eda288ee95007d7e6b336064b0,69064a8413ef1e96d0ab8c2a0eafb27816cb4adb,28a5ab25d3750a3ec943781760a4f5f2c37d1b10,d17543f9438613a266a44185e7814bfb323e862b,bc97507ebcf8c07c934a06abc7c1f3d532ce6de4
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
original_gldm_GrayLevelVariance,138.86088938272945,48.537469491511374,39.41127188585049,30.15219848457927,44.46830560336946
original_gldm_HighGrayLevelEmphasis,347.9025937411897,104.86840013625525,84.26331713578436,87.8412097369068,105.61342835184797
original_gldm_LargeDependenceEmphasis,42.827177896814206,69.6410809583286,75.22774365086642,71.00826161790017,60.17655278418221
original_gldm_LargeDependenceHighGrayLevelEmphasis,20721.147307583873,1706.4035426365392,1477.3725130650041,2342.503024342267,1922.339900789492
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.9825448456040802,4.421236562153064,5.575268689598313,2.599472880153847,2.5743436073123687
original_gldm_LowGrayLevelEmphasis,0.01847287707123976,0.048412722732228304,0.06003694469269094,0.030674137384248516,0.03557240447821831
original_gldm_SmallDependenceEmphasis,0.23645398118240094,0.16496170169998697,0.147186323071314,0.13427986244772508,0.1475476703059679
original_gldm_SmallDependenceHighGrayLevelEmphasis,109.44119251036639,51.112343796225474,40.56810377511917,36.3924302269657,44.49637658674219
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0022675420529969636,0.0039667339802995465,0.004225863490486899,0.0022736435259016136,0.0031807488046999644
original_glrlm_GrayLevelNonUniformity,335.4154749684034,766.2021637172402,1029.3545699349183,2124.5811305316497,1417.3611959006432
original_glrlm_GrayLevelNonUniformityNormalized,0.05615530818128537,0.1120625019620203,0.12366814411741861,0.13671265561789853,0.1257165297323695
original_glrlm_GrayLevelVariance,128.7919910053315,57.15375734195833,47.65107449785371,36.71910758512671,52.28649295677316
original_glrlm_HighGrayLevelRunEmphasis,341.4095000881212,126.21435318791526,103.01352387868025,103.54830281141433,123.53812281814022
original_glrlm_LongRunEmphasis,1.721494243399216,2.1848639813568016,2.303584675312866,2.252847563298609,2.055112877061922
original_glrlm_LongRunHighGrayLevelEmphasis,645.269094894546,160.78960502135303,133.1100963871741,148.74194070770972,162.93226877671333
original_glrlm_LongRunLowGrayLevelEmphasis,0.03412466847518959,0.11809799529129067,0.15104360140641632,0.07412198447845124,0.07810396297424423
original_glrlm_LowGrayLevelRunEmphasis,0.017513541152110627,0.044707440257501285,0.056146953829082906,0.02910126478905337,0.03391773081398614
original_glrlm_RunEntropy,5.361714916742922,4.773429353150006,4.666421435442598,4.4996020783397315,4.5894819075485485
original_glrlm_RunLengthNonUniformity,4480.008164851099,4521.993681907701,5385.059347330475,9993.556807466906,7580.15874335655
