diagnostics_Image-original_Hash,83cef79e9db00927fdd629a802c8e4285ff46733,0ad74b934f63b25e0497aecc4970b967f6935edc,e867abe4fdad471c793a4e52e5ef1256e58b550d,5d7acdbd3fe96844e0885b124aa12f72abaf154f
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 174)","(512, 512, 217)","(512, 512, 209)","(512, 512, 241)"
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.3357332845103643,15.465259479886203,0.27988487379134935,0.17247646632536606
original_gldm_LowGrayLevelEmphasis,0.013459659155449707,0.14813397259952923,0.009907468199775437,0.007836782561682812
original_gldm_SmallDependenceEmphasis,0.4345171686498943,0.45290240015211425,0.2838581802181497,0.2931552470958194
original_gldm_SmallDependenceHighGrayLevelEmphasis,540.7563840671886,510.3529483970089,211.66282553050434,232.16017833709253
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0033109093538728753,0.012562515065939212,0.0018001241317082053,0.0020707480518999837
original_glrlm_GrayLevelNonUniformity,84.0613261492588,199.32347686620085,184.33953120505447,172.6450331350058
original_glrlm_GrayLevelNonUniformityNormalized,0.01944286584225915,0.026581827274588892,0.034241434232179076,0.03359641766864947
original_glrlm_GrayLevelVariance,364.29980087933285,386.98076227724766,230.8125158750337,227.5952286551777
original_glrlm_HighGrayLevelRunEmphasis,1295.8829623992553,1042.1281578403705,702.375937905424,737.1068189828101
original_glrlm_LongRunEmphasis,1.229801873136992,1.32127730281627,1.453130989004072,1.397078437817109
original_glrlm_LongRunHighGrayLevelEmphasis,1598.4405141152758,1190.4845229091743,1059.0237968934766,1042.3028273162854
original_glrlm_LongRunLowGrayLevelEmphasis,0.01849015868398973,0.3145971564241265,0.01490362857756895,0.011041578302204055
original_glrlm_LowGrayLevelRunEmphasis,0.012592230663829999,0.11241790396773091,0.009695457324653168,0.007790904680720549
original_glrlm_RunEntropy,6.195873886110099,6.038310221690603,5.796817329429454,5.822343562050893
original_glrlm_RunLengthNonUniformity,3817.1825987477505,6523.859257446967,4322.572633760948,4214.720076584397
original_glrlm_RunLengthNonUniformityNormalized,0.8822171093146042,0.870636507354563,0.8018213911582944,0.8193010069791409
original_glrlm_RunPercentage,0.9346528066528066,0.9204488518732096,0.8843562353833512,0.8956254693702392
original_glrlm_RunVariance,0.08294560178264591,0.13961930158921002,0.16977935479250766,0.14710366460382596
original_glrlm_ShortRunEmphasis,0.951962702371334,0.946500716593897,0.9148616051734818,0.9232909741666769
original_glrlm_ShortRunHighGrayLevelEmphasis,1231.993739598625,1008.3061864313772,637.7485525286019,679.7185789399318
