diagnostics_Image-original_Hash,83cef79e9db00927fdd629a802c8e4285ff46733,0ad74b934f63b25e0497aecc4970b967f6935edc,e867abe4fdad471c793a4e52e5ef1256e58b550d,5d7acdbd3fe96844e0885b124aa12f72abaf154f
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 174)","(512, 512, 217)","(512, 512, 209)","(512, 512, 241)"
original_glrlm_ShortRunLowGrayLevelEmphasis,0.01162825107462496,0.1002436097820565,0.014515592067737969,0.011995256461946206
original_glszm_GrayLevelNonUniformity,40.70031347962382,88.00151898734177,63.504208754208754,57.37345537757437
original_glszm_GrayLevelNonUniformityNormalized,0.02551743791825945,0.02227886556641564,0.026727360586788197,0.026257874314679346
original_glszm_GrayLevelVariance,271.4976802507837,296.9053443999359,164.06245040188642,153.7794167639774
original_glszm_HighGrayLevelZoneEmphasis,876.6576802507838,793.1458227848101,625.1910774410775,640.4411899313501
original_glszm_LargeAreaEmphasis,423.61504702194355,75.01341772151899,252.44107744107745,188.13729977116705
original_glszm_LargeAreaHighGrayLevelEmphasis,35186.56865203762,8252.436455696203,36717.51683501683,22545.34462242563
original_glszm_LargeAreaLowGrayLevelEmphasis,6.0879532347144645,64.12705516731481,5.255415073539936,4.087427042090804
original_glszm_LowGrayLevelZoneEmphasis,0.00889456989818332,0.03870629852701656,0.009532157348334822,0.008657066780462177
original_glszm_SizeZoneNonUniformity,834.2639498432602,2120.38582278481,1120.780303030303,983.4549199084668
original_glszm_SizeZoneNonUniformityNormalized,0.5230494983343325,0.536806537413876,0.4717088817467605,0.45009378485513357
original_glszm_SmallAreaEmphasis,0.7509304122944856,0.7607573713690537,0.7141089762879076,0.6976315701163985
original_glszm_SmallAreaHighGrayLevelEmphasis,693.6037931904557,629.8002462709869,471.02905494083467,471.0269027562308
original_glszm_SmallAreaLowGrayLevelEmphasis,0.005189011570154598,0.022617302115738532,0.0045712579644715855,0.004276640477981653
original_glszm_ZoneEntropy,6.94972019609581,7.078104110689659,6.964611989762092,7.024477999676438
original_glszm_ZonePercentage,0.34779764500654164,0.49641824808344853,0.3478770131771596,0.3560951760104302
original_glszm_ZoneVariance,415.34807008578923,70.95548796667201,244.17787229761137,180.25109918363717
original_ngtdm_Busyness,0.7416558252577236,2.2288624130778376,1.0401772679294425,0.9950848785367518
original_ngtdm_Coarseness,0.0014631719367526764,0.000474173060121545,0.0013129551492370324,0.0016241521837129696
original_ngtdm_Complexity,7186.058227050409,16782.394574728572,4279.577023076404,3655.9323260976703
original_ngtdm_Contrast,0.4239703203166367,0.8469791404260777,0.44245894868003227,0.42051444443374275
original_ngtdm_Strength,6.1968611143823065,2.859406608697339,2.7267313148193146,2.695173349587809
